Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,UnitsBought,CashUsed,InvestAmount,CashRemainder,CumUnits,CumInvested,AvgCost
2012-08-01,7242.58,7273.62,7223.17,7267.96,7267.93,1899400.0,7267.93,7267.93,1.63505,11883.4289465,11883.4289465,0.0,137.34420000000028,1022151.4093969997,7442.261190476173
2012-09-03,7430.4,7462.15,7389.68,7450.53,7450.5,1820400.0,7450.5,7450.5,1.63505,12181.940025,12181.940025,0.0,138.9792500000003,1034333.3494219998,7442.358117647042
2012-10-01,7702.12,7707.89,7657.88,7675.72,7675.69,1410200.0,7675.69,7675.69,1.63505,12550.136934499998,12550.136934499998,0.0,140.6143000000003,1046883.4863564997,7445.07127906975
2012-11-01,7141.97,7188.23,7050.05,7179.64,7179.61,1918000.0,7179.61,7179.61,1.63505,11739.021330499998,11739.021330499998,0.0,142.2493500000003,1058622.5076869996,7442.019999999981
2012-12-03,7582.65,7628.29,7562.19,7599.91,7599.88,2437800.0,7599.88,7599.88,1.63505,12426.183793999999,12426.183793999999,0.0,143.8844000000003,1071048.6914809996,7443.813863636345
2013-01-02,7738.05,7793.48,7715.26,7779.22,7779.18,2194600.0,7779.18,7779.18,1.63505,12719.348259,12719.348259,0.0,145.51945000000032,1083768.0397399997,7447.582022471892
2013-02-01,7853.75,7866.23,7832.0,7855.97,7855.93,1838800.0,7855.93,7855.93,1.63505,12844.838346499999,12844.838346499999,0.0,147.15450000000033,1096612.8780864996,7452.1192222222035
2013-03-01,7917.72,7964.63,7917.72,7964.63,7964.59,2114200.0,7964.59,7964.59,1.63505,13022.5028795,13022.5028795,0.0,148.78955000000033,1109635.3809659996,7457.75076923075
2013-04-01,7934.25,7937.73,7896.57,7899.24,7899.2,1560000.0,7899.2,7899.2,1.63505,12915.586959999999,12915.586959999999,0.0,150.42460000000034,1122550.9679259995,7462.549130434762
2013-05-02,8111.43,8139.49,8095.7,8128.51,8128.47,2151000.0,8128.47,8128.47,1.63505,13290.454873499999,13290.454873499999,0.0,152.05965000000035,1135841.4227994995,7469.709569892452
2013-06-03,8177.97,8225.79,8149.45,8201.02,8200.98,2142200.0,8200.98,8200.98,1.63505,13409.012348999999,13409.012348999999,0.0,153.69470000000035,1149250.4351484994,7477.48904255317
2013-07-01,8011.95,8063.47,7974.15,8036.0,8035.96,2063400.0,8035.96,8035.96,1.63505,13139.196398,13139.196398,0.0,155.32975000000036,1162389.6315464994,7483.367684210505
2013-08-01,8110.73,8113.4,8056.22,8056.22,8056.18,2017200.0,8056.18,8056.18,1.63505,13172.257109,13172.257109,0.0,156.96480000000037,1175561.8886554996,7489.334479166646
2013-09-02,8010.15,8052.71,7993.13,8038.86,8038.82,1807200.0,8038.82,8038.82,1.63505,13143.872640999998,13143.872640999998,0.0,158.59985000000037,1188705.7612964995,7494.999278350495
2013-10-01,8173.99,8222.38,8172.79,8187.02,8186.98,2001300.0,8186.98,8186.98,1.63505,13386.121648999999,13386.121648999999,0.0,160.23490000000038,1202091.8829454996,7502.060306122429
2013-11-01,8474.47,8476.63,8378.94,8388.18,8388.14,2146900.0,8388.14,8388.14,1.63505,13715.028306999999,13715.028306999999,0.0,161.8699500000004,1215806.9112524996,7511.010606060586
2013-12-02,8429.24,8437.13,8391.82,8414.61,8414.57,1737900.0,8414.57,8414.57,1.63505,13758.242678499999,13758.242678499999,0.0,163.5050000000004,1229565.1539309996,7520.046199999979
2014-01-02,8618.6,8632.81,8587.54,8612.54,8612.5,2537600.0,8612.5,8612.5,1.63505,14081.868124999999,14081.868124999999,0.0,165.1400500000004,1243647.0220559996,7530.862574257405
2014-02-05,8290.17,8313.83,8230.46,8264.48,8264.44,3156100.0,8264.44,8264.44,1.63505,13512.772622,13512.772622,0.0,166.7751000000004,1257159.7946779996,7538.0545098039
2014-03-03,8627.15,8628.05,8545.24,8601.98,8601.94,2549200.0,8601.94,8601.94,1.63505,14064.601997,14064.601997,0.0,168.4101500000004,1271224.3966749995,7548.383495145609
2014-04-01,8847.34,8873.15,8826.16,8873.15,8873.11,2291600.0,8873.11,8873.11,1.63505,14507.9785055,14507.9785055,0.0,170.04520000000042,1285732.3751804994,7561.121249999977
2014-05-02,8846.86,8875.9,8839.92,8867.32,8867.28,2118600.0,8867.28,8867.28,1.63505,14498.446164,14498.446164,0.0,171.68025000000043,1300230.8213444995,7573.560857142836
2014-06-03,9106.61,9128.34,9070.45,9123.46,9123.42,2367700.0,9123.42,9123.42,1.63505,14917.247871,14917.247871,0.0,173.31530000000043,1315148.0692154996,7588.182169811299
2014-07-01,9393.07,9463.06,9374.28,9441.92,9441.88,3004800.0,9441.88,9441.88,1.63505,15437.945893999997,15437.945893999997,0.0,174.95035000000044,1330586.0151094995,7605.506448598108
2014-08-01,9223.75,9274.64,9201.83,9266.51,9266.47,2400600.0,9266.47,9266.47,1.63505,15151.141773499998,15151.141773499998,0.0,176.58540000000045,1345737.1568829995,7620.885740740719
2014-09-01,9474.41,9532.66,9472.96,9513.06,9513.02,2065000.0,9513.02,9513.02,1.63505,15554.263351,15554.263351,0.0,178.22045000000045,1361291.4202339994,7638.244770642179
2014-10-01,8958.87,9014.26,8918.96,8990.26,8990.22,1648000.0,8990.22,8990.22,1.63505,14699.459210999998,14699.459210999998,0.0,179.85550000000046,1375990.8794449994,7650.535454545431
2014-11-03,9009.38,9029.71,8965.5,9004.86,9004.82,2063400.0,9004.82,9004.82,1.63505,14723.330940999998,14723.330940999998,0.0,181.49055000000047,1390714.2103859994,7662.7362162161935
2014-12-01,9038.41,9164.54,8998.55,9117.71,9117.67,2000200.0,9117.67,9117.67,1.63505,14907.8463335,14907.8463335,0.0,183.12560000000047,1405622.0567194994,7675.726696428548
2015-01-05,9292.31,9292.31,9182.02,9274.11,9274.07,2311000.0,9274.07,9274.07,1.63505,15163.568153499999,15163.568153499999,0.0,184.76065000000048,1420785.6248729995,7689.871327433606
2015-02-02,9368.83,9410.43,9352.19,9386.99,9386.95,1650800.0,9386.95,9386.95,1.63505,15348.1325975,15348.1325975,0.0,186.3957000000005,1436133.7574704995,7704.757982456117
2015-03-02,9665.11,9690.43,9588.36,9601.36,9601.32,2202800.0,9601.32,9601.32,1.63505,15698.638265999998,15698.638265999998,0.0,188.0307500000005,1451832.3957364995,7721.249826086933
2015-04-01,9575.11,9575.11,9503.53,9507.66,9507.62,1788200.0,9507.62,9507.62,1.63505,15545.434081,15545.434081,0.0,189.6658000000005,1467377.8298174995,7736.649568965494
2015-05-04,9853.51,9871.65,9800.48,9845.04,9845.0,2298800.0,9845.0,9845.0,1.63505,16097.067249999998,16097.067249999998,0.0,191.3008500000005,1483474.8970674996,7754.669658119636
2015-06-01,9688.13,9692.34,9589.09,9625.69,9625.65,1981100.0,9625.65,9625.65,1.63505,15738.419032499998,15738.419032499998,0.0,192.93590000000052,1499213.3160999995,7770.52542372879
