Date,Open,High,Low,Close,Adj Close,Volume
2020-08-24,12629.78,12702.94,12567.95,12647.13,12647.13,3397300
2020-08-25,12706.4,12814.56,12698.85,12758.25,12758.25,3891600
2020-08-26,12768.96,12833.29,12734.69,12833.29,12833.29,3413200
2020-08-27,12888.65,12960.68,12786.45,12797.31,12797.31,4956500
2020-08-28,12759.3,12799.16,12674.57,12728.85,12728.85,3774200
2020-08-31,12763.44,12831.38,12591.45,12591.45,12591.45,4820400
2020-09-01,12617.39,12703.28,12565.83,12703.28,12703.28,4070500
2020-09-02,12772.43,12802.61,12646.47,12699.5,12699.5,3968600
2020-09-03,12774.97,12857.79,12732.32,12757.97,12757.97,5711400
2020-09-04,12645.92,12655.67,12559.78,12637.95,12637.95,5122000
2020-09-07,12645.93,12725.05,12575.36,12601.4,12601.4,5406000
2020-09-08,12637.42,12702.55,12614.72,12663.56,12663.56,4243200
2020-09-09,12592.18,12616.57,12480.5,12608.58,12608.58,4223700
2020-09-10,12665.74,12708.64,12650.4,12691.75,12691.75,4738300
2020-09-11,12697.46,12701.79,12616.68,12675.95,12675.95,4644800
2020-09-14,12680.41,12793.07,12680.41,12787.82,12787.82,3515300
2020-09-15,12787.42,12857.73,12773.23,12845.65,12845.65,3475900
2020-09-16,12989.81,13021.68,12948.72,12976.76,12976.76,3609400
2020-09-17,12920.15,12972.52,12851.52,12872.74,12872.74,3259900
2020-09-18,12858.6,12927.81,12841.09,12875.62,12875.62,3858100
2020-09-21,12874.61,12952.31,12795.09,12795.12,12795.12,3612600
2020-09-22,12786.91,12786.91,12632.74,12645.51,12645.51,3420700
2020-09-23,12656.3,12700.89,12548.07,12583.88,12583.88,3552700
2020-09-24,12487.48,12487.48,12264.38,12264.38,12264.38,4698500
2020-09-25,12312.94,12385.81,12149.81,12232.91,12232.91,4286100
2020-09-28,12282.36,12462.76,12282.36,12462.76,12462.76,3002400
2020-09-29,12488.1,12571.34,12429.72,12467.73,12467.73,2887800
2020-09-30,12483.65,12568.68,12466.58,12515.61,12515.61,2462100
2020-10-05,12567.88,12637.62,12519.12,12548.28,12548.28,2876800
2020-10-06,12644.09,12706.39,12644.09,12704.23,12704.23,3064800
2020-10-07,12667.51,12774.36,12619.81,12746.37,12746.37,2873000
2020-10-08,12832.54,12887.19,12818.01,12887.19,12887.19,3427200
2020-10-12,12959.15,12997.79,12898.89,12955.91,12955.91,3714400
2020-10-13,12988.44,12994.66,12857.1,12947.13,12947.13,3354400
2020-10-14,12927.09,12960.0,12895.79,12919.31,12919.31,3672900
2020-10-15,12892.29,12909.11,12786.26,12827.82,12827.82,3580300
